iter	Passed	Remaining
639	5093	2865
640	5100	2856
641	5106	2847
642	5113	2839
643	5120	2830
644	5127	2821
645	5134	2813
646	5141	2805
647	5148	2796
648	5155	2788
649	5161	2779
650	5168	2770
651	5175	2762
652	5182	2753
653	5189	2745
654	5196	2737
655	5202	2728
656	5209	2719
657	5216	2711
658	5222	2702
659	5229	2694
660	5236	2685
661	5243	2677
662	5250	2668
663	5256	2660
664	5263	2651
665	5270	2643
666	5278	2635
667	5285	2626
668	5292	2618
669	5300	2610
670	5307	2602
671	5315	2594
672	5322	2586
673	5330	2578
674	5338	2570
675	5345	2562
676	5352	2553
677	5359	2545
678	5366	2537
679	5374	2529
680	5381	2520
681	5388	2512
682	5396	2504
683	5403	2496
684	5410	2488
685	5418	2479
686	5425	2471
687	5432	2463
688	5440	2455
689	5447	2447
690	5455	2439
691	5462	2431
692	5469	2423
693	5477	2415
694	5484	2406
695	5491	2398
696	5498	2390
697	5505	2382
698	5512	2373
699	5518	2365
700	5526	2357
701	5533	2348
702	5540	2340
703	5547	2332
704	5554	2324
705	5561	2315
706	5568	2307
707	5575	2299
708	5582	2291
709	5589	2282
710	5596	2274
711	5603	2266
712	5610	2258
713	5616	2249
714	5623	2241
715	5630	2233
716	5636	2224
717	5643	2216
718	5650	2208
719	5656	2199
720	5663	2191
721	5670	2183
722	5677	2175
723	5685	2167
724	5691	2158
725	5698	2150
726	5705	2142
727	5713	2134
728	5720	2126
729	5727	2118
730	5735	2110
731	5742	2102
732	5749	2094
733	5757	2086
734	5764	2078
735	5771	2070
736	5779	2062
737	5786	2054
738	5793	2046
739	5801	2038
740	5808	2030
741	5815	2022
742	5822	2014
743	5830	2006
744	5838	1998
745	5845	1990
746	5852	1982
747	5860	1974
748	5868	1966
749	5875	1958
750	5882	1950
751	5889	1942
752	5897	1934
753	5904	1926
754	5912	1918
755	5918	1910
756	5925	1902
757	5934	1894
758	5942	1886
759	5950	1879
760	5957	1870
761	5964	1863
762	5972	1855
763	5980	1847
764	5987	1839
765	5996	1831
766	6003	1823
767	6011	1815
768	6018	1807
769	6026	1799
770	6033	1791
771	6039	1783
772	6046	1775
773	6053	1767
774	6060	1759
775	6066	1751
776	6073	1743
777	6081	1735
778	6088	1727
779	6096	1719
780	6103	1711
781	6111	1703
782	6118	1695
783	6127	1688
784	6134	1680
785	6142	1672
786	6149	1664
787	6156	1656
788	6163	1648
789	6171	1640
790	6179	1632
791	6186	1624
792	6193	1616
793	6200	1608
794	6207	1600
795	6214	1592
796	6221	1584
797	6228	1576
798	6235	1568
799	6242	1560
800	6248	1552
801	6255	1544
802	6262	1536
803	6269	1528
804	6276	1520
805	6283	1512
806	6290	1504
807	6297	1496
808	6303	1488
809	6310	1480
810	6317	1472
811	6324	1464
812	6330	1456
813	6338	1448
814	6344	1440
815	6351	1432
816	6358	1424
817	6365	1416
818	6372	1408
819	6379	1400
820	6386	1392
821	6392	1384
822	6399	1376
823	6406	1368
824	6413	1360
825	6422	1352
826	6430	1345
827	6437	1337
828	6444	1329
829	6452	1321
830	6460	1313
831	6470	1306
832	6481	1299
833	6488	1291
834	6496	1283
835	6504	1275
836	6511	1268
837	6519	1260
838	6527	1252
839	6535	1244
840	6542	1236
841	6549	1229
842	6556	1221
843	6564	1213
844	6571	1205
845	6578	1197
846	6584	1189
847	6591	1181
848	6598	1173
849	6605	1165
850	6612	1157
851	6619	1149
852	6626	1142
853	6633	1134
854	6640	1126
855	6647	1118
856	6654	1110
857	6661	1102
858	6668	1094
859	6675	1086
860	6682	1078
861	6690	1071
862	6697	1063
863	6704	1055
864	6712	1047
865	6720	1039
866	6728	1032
867	6736	1024
868	6744	1016
869	6752	1008
870	6760	1001
871	6767	993
872	6775	985
873	6782	977
874	6790	970
875	6797	962
876	6804	954
877	6812	946
878	6819	938
879	6825	930
880	6832	922
881	6840	915
882	6847	907
883	6854	899
884	6861	891
885	6869	883
886	6876	876
887	6883	868
888	6890	860
889	6897	852
890	6907	845
891	6918	837
892	6931	830
893	6939	822
894	6950	815
895	6959	807
896	6967	800
897	6976	792
898	6985	784
899	6993	777
900	7001	769
901	7008	761
902	7016	753
903	7023	745
904	7030	738
905	7037	730
906	7044	722
907	7052	714
908	7060	706
909	7067	698
910	7074	691
911	7081	683
912	7088	675
913	7094	667
914	7101	659
915	7108	651
916	7116	644
917	7123	636
918	7130	628
919	7137	620
920	7146	612
921	7153	605
922	7161	597
923	7169	589
924	7177	581
925	7185	574
926	7192	566
927	7201	558
928	7208	550
929	7216	543
930	7223	535
931	7233	527
932	7240	519
933	7249	512
934	7256	504
935	7264	496
936	7271	488
937	7280	481
938	7288	473
939	7296	465
940	7303	457
941	7312	450
942	7319	442
943	7328	434
944	7337	427
945	7346	419
946	7353	411
947	7362	403
948	7369	396
949	7378	388
950	7389	380
951	7398	373
952	7407	365
953	7415	357
954	7424	349
955	7432	342
956	7440	334
957	7448	326
958	7457	318
959	7464	311
960	7473	303
961	7480	295
962	7489	287
963	7497	279
964	7506	272
965	7514	264
966	7521	256
967	7529	248
968	7537	241
969	7544	233
970	7552	225
971	7559	217
972	7567	210
973	7575	202
974	7582	194
975	7590	186
976	7597	178
977	7605	171
978	7612	163
979	7620	155
980	7628	147
981	7636	139
982	7643	132
983	7650	124
984	7657	116
985	7665	108
986	7673	101
987	7680	93
988	7688	85
989	7695	77
990	7703	69
991	7711	62
992	7718	54
993	7726	46
994	7734	38
995	7741	31
996	7748	23
997	7755	15
998	7762	7
999	7769	0
